24h_volume_usd,available_supply,id,last_updated,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_usd,rank,symbol,total_supply,timestamp
11245900000,16761475,bitcoin,1514168361,232733080375,21000000.0,Bitcoin,0.44,-2.01,-26.96,1.0,13885.0,1,BTC,16761475,2017-12-25 10:19:21
2545480000,96550736,ethereum,1514168350,71720107088,,Ethereum,3.86,6.87,3.68,0.0535092,742.823,2,ETH,96550736,2017-12-25 10:19:10
1579670000,16874525,bitcoin-cash,1514168352,48566570403,21000000.0,Bitcoin Cash,-0.01,-6.46,55.79,0.207324,2878.1,3,BCH,16874525,2017-12-25 10:19:12
706662000,38739144847,ripple,1514168340,39796336110,100000000000.0,Ripple,0.38,-8.24,42.09,7.4e-05,1.02729,4,XRP,99993093880,2017-12-25 10:19:00
1109830000,54457958,litecoin,1514168341,15150748538,84000000.0,Litecoin,0.72,-0.34,-11.81,0.0200408,278.21,5,LTC,54457958,2017-12-25 10:19:01
66547300,25927070538,cardano,1514168354,9833567460,45000000000.0,Cardano,-0.76,-4.01,-23.24,2.732e-05,0.379278,6,ADA,31112483745,2017-12-25 10:19:14
258197000,2779530283,iota,1514168352,9584348527,2779530283.0,IOTA,0.86,0.68,-9.82,0.00024839,3.44819,7,MIOTA,2779530283,2017-12-25 10:19:12
226971000,7773350,dash,1514168341,9340068153,18900000.0,Dash,1.29,-2.12,9.9,0.0865532,1201.55,8,DASH,7773350,2017-12-25 10:19:01
108555000,8999999999,nem,1514168344,8936693999,,NEM,3.52,10.59,40.48,7.153e-05,0.992966,9,XEM,8999999999,2017-12-25 10:19:04
119763000,15519887,monero,1514168342,5244200802,,Monero,0.61,-5.12,-2.28,0.0243407,337.902,10,XMR,15519887,2017-12-25 10:19:02
140336000,16725374,bitcoin-gold,1514168355,5208298061,21000000.0,Bitcoin Gold,2.1,-2.1,5.06,0.0224317,311.401,11,BTG,16825374,2017-12-25 10:19:15
183576000,560715293,eos,1514168352,4637928508,,EOS,0.47,0.98,0.94,0.00059583,8.27145,12,EOS,1000000000,2017-12-25 10:19:12
