24h_volume_usd,available_supply,id,last_updated,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_usd,rank,symbol,total_supply,timestamp
16031800000,16788575,bitcoin,1515372260,276857032610,21000000.0,Bitcoin,-0.24,-5.46,17.9,1.0,16490.8,1,BTC,16788575,2018-01-08 08:44:20
2309920000,38739144847,ripple,1515372241,128321480348,100000000000.0,Ripple,-2.3,5.46,45.58,0.00020327,3.31245,2,XRP,99993093880,2018-01-08 08:44:01
5848200000,96838515,ethereum,1515372249,115654238277,,Ethereum,4.32,13.9,58.32,0.0732888,1194.3,3,ETH,96838515,2018-01-08 08:44:09
1432190000,16899350,bitcoin-cash,1515372253,46796666059,21000000.0,Bitcoin Cash,-0.86,-0.59,9.86,0.169929,2769.14,4,BCH,16899350,2018-01-08 08:44:13
226153000,25927070538,cardano,1515372254,25473320877,45000000000.0,Cardano,-3.11,-3.62,36.7,6.029e-05,0.982499,5,ADA,31112483745,2018-01-08 08:44:14
122808000,8999999999,nem,1515372244,15886799998,,NEM,-3.79,7.6,69.75,0.00010832,1.7652,6,XEM,8999999999,2018-01-08 08:44:04
1042290000,54659733,litecoin,1515372241,15778133232,84000000.0,Litecoin,0.02,-3.41,25.21,0.0177138,288.661,7,LTC,54659733,2018-01-08 08:44:01
1847030000,65748192475,tron,1515372254,13033395691,,TRON,3.52,12.69,341.37,1.216e-05,0.198232,8,TRX,100000000000,2018-01-08 08:44:14
341594000,17877858508,stellar,1515372243,12159732732,,Stellar,-3.19,-3.93,75.42,4.174e-05,0.680156,9,XLM,103570548975,2018-01-08 08:44:03
256652000,2779530283,iota,1515372251,11519346328,2779530283.0,IOTA,1.28,4.32,16.02,0.00025432,4.14435,10,MIOTA,2779530283,2018-01-08 08:44:11
228861000,7804681,dash,1515372241,10295232196,18900000.0,Dash,2.93,3.26,25.31,0.0809474,1319.11,11,DASH,7804681,2018-01-08 08:44:01
692420000,589006616,eos,1515372252,7352628489,1000000000.0,EOS,-0.92,-0.16,42.76,0.00076603,12.4831,12,EOS,900000000,2018-01-08 08:44:12
229600000,15575657,monero,1515372242,7263847643,,Monero,1.86,1.41,34.15,0.0286183,466.359,13,XMR,15575657,2018-01-08 08:44:02
197233000,65000000,neo,1515372247,6614205000,,NEO,-0.39,1.33,34.88,0.00624433,101.757,14,NEO,100000000,2018-01-08 08:44:07
1469350000,73791220,qtum,1515372251,6514429105,,Qtum,2.15,-6.52,43.02,0.00541745,88.2819,15,QTUM,100291220,2018-01-08 08:44:11
201169000,16751036,bitcoin-gold,1515372255,5141479262,21000000.0,Bitcoin Gold,1.33,3.23,16.46,0.0188352,306.935,16,BTG,16851036,2018-01-08 08:44:15
488777000,98954004,ethereum-classic,1515372247,4359309797,,Ethereum Classic,8.52,13.68,46.52,0.00270338,44.0539,17,ETC,98954004,2018-01-08 08:44:07
205223000,116766552,lisk,1515372246,3842250100,,Lisk,-2.42,3.56,61.76,0.00201925,32.9054,18,LSK,116766552,2018-01-08 08:44:06
286487000,378545005,icon,1515372255,3764860987,,ICON,-0.37,27.15,85.66,0.00061031,9.94561,19,ICX,400230000,2018-01-08 08:44:15
50462300,133248289,raiblocks,1515372249,3517195193,133248290.0,RaiBlocks,-2.97,-7.94,22.11,0.00161979,26.3958,20,XRB,133248289,2018-01-08 08:44:09
15531800000,16788575,bitcoin,1515372561,277647774492,21000000.0,Bitcoin,0.08,-5.13,18.24,1.0,16537.9,1,BTC,16788575,2018-01-08 08:49:21
2307720000,38739144847,ripple,1515372541,128235092055,100000000000.0,Ripple,-2.26,5.26,45.49,0.00020367,3.31022,2,XRP,99993093880,2018-01-08 08:49:01
5840660000,96838515,ethereum,1515372548,116928633132,,Ethereum,5.47,15.15,60.04,0.0742935,1207.46,3,ETH,96838515,2018-01-08 08:49:08
1428180000,16899350,bitcoin-cash,1515372552,46740560217,21000000.0,Bitcoin Cash,-0.98,-0.7,9.73,0.170177,2765.82,4,BCH,16899350,2018-01-08 08:49:12
226236000,25927070538,cardano,1515372555,25459553602,45000000000.0,Cardano,-2.82,-3.71,36.68,6.042e-05,0.981968,5,ADA,31112483745,2018-01-08 08:49:15
122924000,8999999999,nem,1515372543,15915239998,,NEM,-3.56,7.87,69.99,0.0001088,1.76836,6,XEM,8999999999,2018-01-08 08:49:03
1037410000,54659733,litecoin,1515372541,15759439603,84000000.0,Litecoin,-0.03,-3.54,25.05,0.0177399,288.319,7,LTC,54659733,2018-01-08 08:49:01
1767360000,65748192475,tron,1515372554,12387879937,,TRON,-3.67,7.17,319.29,1.159e-05,0.188414,8,TRX,100000000000,2018-01-08 08:49:14
341130000,17877858508,stellar,1515372543,12142462720,,Stellar,-3.24,-4.14,74.81,4.179e-05,0.67919,9,XLM,103570548975,2018-01-08 08:49:03
256516000,2779530283,iota,1515372551,11553451165,2779530283.0,IOTA,1.78,4.67,16.34,0.00025575,4.15662,10,MIOTA,2779530283,2018-01-08 08:49:11
229446000,7804681,dash,1515372541,10304363673,18900000.0,Dash,2.99,3.29,25.45,0.0812348,1320.28,11,DASH,7804681,2018-01-08 08:49:01
690550000,589006616,eos,1515372551,7350213562,1000000000.0,EOS,-0.95,-0.2,42.7,0.00076781,12.479,12,EOS,900000000,2018-01-08 08:49:11
229947000,15575657,monero,1515372542,7273971820,,Monero,1.99,1.3,34.35,0.0287344,467.009,13,XMR,15575657,2018-01-08 08:49:02
196584000,65000000,neo,1515372547,6577610000,,NEO,-0.93,0.71,34.15,0.00622636,101.194,14,NEO,100000000,2018-01-08 08:49:07
1430130000,73791220,qtum,1515372550,6555958804,,Qtum,3.21,-5.67,43.93,0.00546649,88.8447,15,QTUM,100291220,2018-01-08 08:49:10
197432000,16751036,bitcoin-gold,1515372556,5060957031,21000000.0,Bitcoin Gold,-0.17,1.39,14.59,0.0185895,302.128,16,BTG,16851036,2018-01-08 08:49:16
492362000,98954004,ethereum-classic,1515372547,4342853746,,Ethereum Classic,7.87,13.16,45.73,0.00270034,43.8876,17,ETC,98954004,2018-01-08 08:49:07
